obsHistID,expMJD,filter,bandmag
192082,49594.100887,i,24.399281418934425
192083,49594.101304,i,24.399268596025784
192084,49594.101732,i,24.39925543601143
192085,49594.102148,i,24.399242646084378
192086,49594.102565,i,24.39922982651496
192087,49594.102993,i,24.399216669927803
192088,49594.103422,i,24.39920348376818
192089,49594.10385,i,24.399190329510002
192090,49594.104278,i,24.399177176414906
192091,49594.104695,i,24.399164362485113
192092,49594.105123,i,24.399151211686153
192093,49594.105551,i,24.399138062050145
192094,49594.105979,i,24.399124913577047
192095,49594.107762,z,24.206723034286483
192096,49594.10819,z,24.20670699083191
192097,49594.108618,z,24.206690948349415
192098,49594.109035,z,24.20667531910845
192099,49594.109463,z,24.206659278544986
192100,49594.109892,z,24.20664320147892
192101,49594.11032,z,24.20662716286158
192102,49594.110748,z,24.206611125216114
192103,49594.111165,z,24.20659550068768
192104,49594.111593,z,24.20657946496086
192105,49594.112021,z,24.20656343020579
192106,49594.112449,z,24.206547396422437
192107,49594.112878,z,24.206531326152042
192108,49594.113306,z,24.206515294314265
192109,49594.113723,z,24.20649967544403
192110,49594.114151,z,24.20648364552443
192111,49594.114579,z,24.206467616576347
192112,49594.115007,z,24.20645158859974
192113,49594.115435,z,24.206435561594574
192114,49594.115864,z,24.20641949811792
192115,49594.11628,z,24.20640392234517
192116,49594.116697,z,24.20638831005185
192117,49594.117114,z,24.206372698680255
192118,49594.117542,z,24.206356676456792
192119,49594.11797,z,24.20634065520453
192120,49594.118398,z,24.20632463492344
192121,49594.120181,y,24.359755800991103
192122,49594.120609,y,24.3597413846512
192123,49594.121037,y,24.359726969218567
192124,49594.121454,y,24.359712925148468
192125,49594.121871,y,24.359698881939536
192126,49594.122287,y,24.35968487326566
192127,49594.122716,y,24.359670427718143
192128,49594.123144,y,24.35965601675141
192129,49594.123572,y,24.359641606691742
192130,49594.124,y,24.359627197538863
192131,49594.124429,y,24.359612755630152
192132,49594.124845,y,24.359598752225406
192133,49594.125273,y,24.35958434577037
192134,49594.12569,y,24.359570310446806
192135,49594.126107,y,24.359556275984346
192136,49594.126535,y,24.359541872203053
192137,49594.126952,y,24.35952783948491
192138,49594.12738,y,24.35951343749413
192139,49594.127797,y,24.359499406519937
192140,49594.128213,y,24.35948541005078
194802,49597.068236,r,25.44311309743897
194803,49597.068653,r,25.44311491229898
194804,49597.069081,r,25.443116776228262
194805,49597.069509,r,25.443118641368404
194806,49597.069937,r,25.4431205077194
194807,49597.070366,r,25.443122379646145
194808,49597.070794,r,25.44312424842171
194809,49597.071222,r,25.443126118408152
194810,49597.071639,r,25.443127941498812
194811,49597.072067,r,25.44312981387591
194812,49597.072495,r,25.4431316874639
194813,49597.072923,r,25.443133562262794
194814,49597.073352,r,25.443135442657223
194815,49597.07378,r,25.44313731988077
194816,49597.074208,r,25.44313919831524
194817,49597.074636,r,25.44314107796064
194818,49597.075065,r,25.443142963212914
194819,49597.075493,r,25.44314484528302
194820,49597.075921,r,25.443146728564102
194821,49597.076338,r,25.44314856460772
194822,49597.07812,g,28.418999471942765
194823,49597.078537,g,28.419015304892838
194824,49597.078965,g,28.419031552090527
194825,49597.079393,g,28.419047795835702
194826,49597.079822,g,28.41906407406878
194827,49597.08025,g,28.419080310900373
194828,49597.080678,g,28.41909654427898
194829,49597.081095,g,28.419112357123552
194830,49597.081523,g,28.419128583684447
194831,49597.08194,g,28.419144389885954
194832,49597.083722,i,24.333802311299273
194833,49597.084139,i,24.333796551416874
194834,49597.084567,i,24.333790640517982
194835,49597.084995,i,24.333784730553983
194836,49597.085423,i,24.333778821524874
194837,49597.085852,i,24.333772899627768
194838,49597.08628,i,24.333766992470466
194839,49597.086697,i,24.333761238031887
194840,49597.087113,i,24.33375549827702
194841,49597.087541,i,24.33374959387406
194842,49597.087958,i,24.333743842118892
194843,49597.088375,i,24.33373809125097
194844,49597.088803,i,24.3337321896043
194845,49597.089231,i,24.333726288892382
194846,49597.089648,i,24.33372054073324
194847,49597.090065,i,24.333714793461482
194848,49597.090481,i,24.33370906085615
194849,49597.090898,i,24.333703315356708
194850,49597.091326,i,24.33369741922005
194851,49597.091743,i,24.333691675518597
194852,49597.093525,z,24.116892649395428
194853,49597.093954,z,24.11688285667328
194854,49597.094382,z,24.116873087653012
194855,49597.09481,z,24.11686331950655
194856,49597.095238,z,24.11685355223387
194857,49597.095666,z,24.116843785834952
194858,49597.096083,z,24.116834271282038
194859,49597.096511,z,24.11682450660795
194860,49597.09694,z,24.11681471999612
194861,49597.097368,z,24.1168049570716
194862,49597.097785,z,24.11679544590371
194863,49597.098201,z,24.116785958370528
194864,49597.098629,z,24.116776198019938
194865,49597.099058,z,24.116766415741424
194866,49597.099486,z,24.116756657140005
194867,49597.099914,z,24.116746899412128
194868,49597.100342,z,24.11673714255776
194869,49597.100771,z,24.116727363783546
